channel_num,center_freq_mhz,timestamp,avg_power_db,peak_power_db,std_dev_db,signal_presence_ratio,mean_amplitude,max_amplitude,crest_factor,noise_floor_db,num_detected_peaks,in_channel_power_db,spectral_flatness,ap_channel,sample_id
7,2442.0000000018617,2025-04-21T19:23:43.534430,-97.15251,-72.03655,4.926175,0.23404255319148937,0.07302635807169444,0.5051162838935852,3.8425348063815727,-99.97849,2,-99.19444,0.3610837459564209,0,3
8,2447.00000000186,2025-04-21T19:23:43.715216,-95.32536,-72.40094,6.611326,0.723404255319149,0.1647858782813208,0.4211732745170593,2.0436773037168416,-99.98475,3,-90.72551,0.2499029040336609,0,1
8,2447.00000000186,2025-04-21T19:23:44.393337,-99.68321,-71.9329,1.3589811,0.0,0.01359444660818395,0.10111096501350403,3.626804846644045,-99.9876,1,-99.39448,0.8928881883621216,0,2
8,2447.00000000186,2025-04-21T19:23:45.071493,-98.72293,-74.920265,2.7323577,0.0,0.05029076829714973,0.18613795936107635,3.2326829718446097,-99.97809,0,-99.474625,0.7317487597465515,0,3
9,2452.000000001859,2025-04-21T19:23:45.257459,-99.96275,-99.45725,0.016988723,0.0,0.005212610425380154,0.020268170163035393,3.4352229400799166,-99.988144,0,-99.960724,0.9999927282333374,0,1
9,2452.000000001859,2025-04-21T19:23:45.931342,-98.54433,-73.647644,2.1377342,0.02127659574468085,0.020795206462635715,0.4199780225753784,8.361592271281644,-99.98636,0,-97.545334,0.8506609797477722,0,2
9,2452.000000001859,2025-04-21T19:23:46.614855,-99.33647,-70.8813,1.9100926,0.0,0.02927211686676624,0.13787469267845154,3.2071614710556484,-99.97687,1,-98.764984,0.7902820110321045,0,3
10,2457.000000001862,2025-04-21T19:23:46.789035,-99.90634,-97.046524,0.12363562,0.0,0.008201381639982692,0.031120985746383667,3.314932586492046,-99.98817,0,-99.901054,0.999586820602417,0,1
10,2457.000000001862,2025-04-21T19:23:47.458801,-99.96207,-98.351456,0.02271441,0.0,0.005142064963871109,0.10760511457920074,17.86379728563062,-99.98955,0,-99.96068,0.9999871850013733,0,2
10,2457.000000001862,2025-04-21T19:23:48.127450,-99.96271,-98.88013,0.02639672,0.0,0.0051141287815983615,0.024677090346813202,4.1967321203626025,-99.99,0,-99.958984,0.9999815225601196,0,3
11,2462.0000000018617,2025-04-21T19:23:48.301075,-99.712715,-72.43715,1.172617,0.0,0.012404714617373101,0.1107880026102066,4.45922879970791,-99.99026,0,-99.9662,0.9245205521583557,0,1
11,2462.0000000018617,2025-04-21T19:23:48.981620,-96.8712,-71.86153,5.0399785,0.3404255319148936,0.07596121432137679,0.3971708118915558,3.118021766681306,-99.98637,2,-99.57015,0.40476226806640625,0,2
11,2462.0000000018617,2025-04-21T19:23:49.653376,-99.719635,-71.7846,1.1983266,0.0,0.011207571261417483,0.10867731273174286,4.488994958346231,-99.99053,0,-99.94738,0.9232699275016785,0,3
1,2412.000000001859,2025-04-21T19:24:23.660226,-99.82689,-73.9924,0.8766401,0.0,0.009167756917927232,0.07538700848817825,3.9898245890328323,-99.99167,0,-99.805374,0.9580175876617432,1,1
1,2412.000000001859,2025-04-21T19:24:24.327861,-99.7261,-71.67313,1.0404791,0.0,0.010800720802883232,0.09526367485523224,4.180395823833441,-99.991844,0,-99.81626,0.9449946880340576,1,2
1,2412.000000001859,2025-04-21T19:24:24.994418,-99.537094,-69.97656,2.012149,0.0,0.023030224391505975,0.1226210668683052,2.6840229038449865,-99.99163,1,-99.981316,0.7388853430747986,1,3
2,2417.000000001862,2025-04-21T19:24:25.172423,-83.61917,-62.15948,7.1053843,0.40425531914893614,0.4627855189203669,1.4132208824157715,1.9104205024391123,-95.0799,13,-80.3973,0.31539565324783325,1,1
2,2417.000000001862,2025-04-21T19:24:25.862818,-91.11593,-52.86258,10.091386,0.7659574468085106,0.5087874476990204,0.7702205777168274,1.385262754677312,-99.987335,6,-86.388596,0.0982670858502388,1,2
2,2417.000000001862,2025-04-21T19:24:26.543592,-99.13127,-57.516766,3.8255937,0.0,0.05415308466045171,0.6821467280387878,3.8472152792360705,-99.990524,1,-99.65763,0.1449785679578781,1,3
3,2422.0000000018617,2025-04-21T19:24:26.721375,-99.948395,-81.42331,0.1989381,0.0,0.005141056598614031,0.03713463246822357,5.199198319284878,-99.98981,0,-99.974655,0.9986566305160522,1,1
3,2422.0000000018617,2025-04-21T19:24:27.408896,-99.66478,-73.41931,1.4508477,0.0,0.014502452497176308,0.09872648119926453,3.278165222517329,-99.9902,0,-99.35548,0.8877310156822205,1,2
3,2422.0000000018617,2025-04-21T19:24:28.085773,-99.95488,-98.93394,0.032922685,0.0,0.005660924326642434,0.024898197501897812,3.85718461029258,-99.987305,0,-99.9551,0.9999725818634033,1,3
4,2427.00000000186,2025-04-21T19:24:28.272232,-80.4548,-60.897747,6.9600315,0.7659574468085106,0.8548504932055038,1.4132208824157715,1.401239913087911,-92.95091,15,-78.58711,0.3510332405567169,1,1
4,2427.00000000186,2025-04-21T19:24:28.949357,-92.95635,-60.66277,5.0720315,0.045454545454545456,0.0507607620455152,1.4087213277816772,7.057586621546089,-98.65243,4,-90.818634,0.4459560811519623,1,2
4,2427.00000000186,2025-04-21T19:24:29.637024,-99.73845,-75.160355,1.1108334,0.0,0.010987545720825704,0.09669360518455505,4.253783140848074,-99.9875,0,-99.50812,0.9400965571403503,1,3
5,2432.000000001859,2025-04-21T19:24:29.815372,-98.96489,-80.011856,1.8916713,0.0,0.023320536251410277,0.15166877210140228,3.60255980383014,-99.96615,0,-99.91413,0.8842490315437317,1,1
5,2432.000000001859,2025-04-21T19:24:30.497041,-95.750046,-71.16588,5.913863,0.23404255319148937,0.07921381299078938,0.4501752555370331,2.700846693689514,-99.97283,4,-95.494,0.33344027400016785,1,2
5,2432.000000001859,2025-04-21T19:24:31.178827,-88.925735,-61.904926,10.95918,0.7659574468085106,0.6782616553726324,1.3465429544448853,1.6472869649189983,-99.316925,7,-90.117325,0.07571763545274734,1,3
6,2437.000000001862,2025-04-21T19:24:31.363401,-99.643845,-72.458084,1.4590557,0.0,0.015369602288555736,0.1060398519039154,3.538193434057974,-99.98322,0,-99.91946,0.8813162446022034,1,1
6,2437.000000001862,2025-04-21T19:24:32.042336,-89.65737,-61.71663,9.587752,1.0,0.546865592004858,1.4132205247879028,2.252627008070763,-98.73756,6,-92.903915,0.10793236643075943,1,2
6,2437.000000001862,2025-04-21T19:24:32.715521,-99.3975,-79.72216,1.2627709,0.0,0.02387355840051975,0.08315008133649826,2.7924300505914688,-99.96977,0,-99.88627,0.9437859654426575,1,3
7,2442.0000000018617,2025-04-21T19:24:32.903417,-92.7001,-61.77414,8.791262,0.9787234042553191,0.41048134973658884,1.4132205247879028,2.7790874686821474,-99.34236,5,-97.997185,0.08143262565135956,1,1
7,2442.0000000018617,2025-04-21T19:24:33.586549,-93.515755,-62.8453,8.118197,0.18181818181818182,0.18151975739448467,1.4093016386032104,3.5352205690810314,-99.474205,5,-98.36321,0.10751111805438995,1,2
7,2442.0000000018617,2025-04-21T19:24:34.263327,-99.51408,-72.8088,1.3122778,0.0,0.019367009008207,0.14860358834266663,4.892811957773327,-99.98761,0,-99.064255,0.9115442037582397,1,3
8,2447.00000000186,2025-04-21T19:24:34.456497,-98.765945,-70.995705,2.7312565,0.0,0.05062352467140258,0.18652650713920593,3.2008574666333462,-99.97854,1,-99.32642,0.7219021320343018,1,1
8,2447.00000000186,2025-04-21T19:24:35.144919,-98.98567,-73.36459,2.2836683,0.0,0.03358442801259486,0.19247028231620789,4.0174477203136405,-99.98298,0,-99.38,0.7970134615898132,1,2
8,2447.00000000186,2025-04-21T19:24:35.831602,-99.524445,-73.234344,1.2265412,0.0,0.01577295882034461,0.1686209887266159,6.06832363176591,-99.977585,0,-99.69534,0.9393421411514282,1,3
9,2452.000000001859,2025-04-21T19:24:36.019595,-99.66623,-71.927765,1.1720502,0.0,0.013061566704951778,0.11844779551029205,4.809321026203565,-99.98873,0,-99.36629,0.9300058484077454,1,1
9,2452.000000001859,2025-04-21T19:24:36.701625,-99.75409,-72.79548,1.0683331,0.0,0.01037284595845986,0.08922351896762848,4.116630791970423,-99.98844,0,-99.53598,0.9439878463745117,1,2
9,2452.000000001859,2025-04-21T19:24:37.384825,-99.953,-96.936295,0.028546788,0.0,0.005782129489037709,0.025325575843453407,3.829923459193471,-99.98716,0,-99.93628,0.9999764561653137,1,3
10,2457.000000001862,2025-04-21T19:24:37.563449,-99.69025,-73.102196,1.338392,0.0,0.014957037661341165,0.08803021907806396,3.131005322194544,-99.98884,0,-99.41009,0.9024351835250854,1,1
10,2457.000000001862,2025-04-21T19:24:38.236057,-99.69968,-74.95864,1.2555712,0.0,0.015294581629307906,0.07436066120862961,2.883930265417032,-99.98966,0,-99.438354,0.9172024130821228,1,2
10,2457.000000001862,2025-04-21T19:24:38.897771,-99.97119,-99.49753,0.011691554,0.0,0.004551178408179053,0.017503896728157997,3.3898711131898365,-99.99011,0,-99.96779,0.9999951124191284,1,3
11,2462.0000000018617,2025-04-21T19:24:39.071884,-99.65908,-75.77905,1.0623372,0.0,0.012647290520678419,0.09230674803256989,4.00359229827554,-99.98659,0,-99.92453,0.9503231048583984,1,1
11,2462.0000000018617,2025-04-21T19:24:39.746621,-99.77936,-76.97555,0.957802,0.0,0.009650356599475923,0.08445726335048676,4.261945139782149,-99.98817,0,-99.974174,0.956924557685852,1,2
11,2462.0000000018617,2025-04-21T19:24:40.416670,-99.706375,-72.20741,1.1598935,0.0,0.011441543403644585,0.09839817136526108,3.950959683161506,-99.989235,0,-99.973625,0.9344028234481812,1,3
1,2412.000000001859,2025-04-21T19:24:51.814370,-99.58661,-70.28283,1.7966517,0.0,0.018008600228221705,0.10628195852041245,2.83683637562893,-99.99137,1,-99.56264,0.8074920177459717,2,1
1,2412.000000001859,2025-04-21T19:24:52.501918,-93.15921,-69.15484,8.78455,0.7659574468085106,0.30185213008919604,0.5564456582069397,1.48981471081306,-99.98989,5,-92.95888,0.13404151797294617,2,2
